DATE_TIME,current_contract,next_contract,carry_contract
2014-10-15 23:00:00,20150100,20150500,20141000
2015-01-15 23:00:00,20150500,20151000,20150100
2015-05-15 23:00:00,20151000,20160100,20150500
2015-10-15 23:00:00,20160100,20160500,20151000
2016-01-15 23:00:00,20160500,20161000,20160100
2016-05-16 23:00:00,20161000,20170100,20160500
2016-10-17 23:00:00,20170100,20170500,20161000
2017-01-16 23:00:00,20170500,20171000,20170100
2017-05-15 23:00:00,20171000,20180100,20170500
2017-10-16 23:00:00,20180100,20180500,20171000
2018-01-15 23:00:00,20180500,20181000,20180100
2018-05-15 23:00:00,20181000,20190100,20180500
2018-10-15 23:00:00,20190100,20190500,20181000
2019-01-15 23:00:00,20190500,20191000,20190100
2019-05-15 23:00:00,20191000,20200100,20190500
2019-10-15 23:00:00,20200100,20200500,20191000
2020-01-15 23:00:00,20200500,20201000,20200100
2020-05-15 23:00:00,20201000,20210100,20200500
2020-10-15 23:00:00,20210100,20210500,20201000
2021-01-15 23:00:00,20210500,20211000,20210100
2021-05-17 23:00:00,20211000,20220100,20210500
2021-10-15 23:00:00,20220100,20220500,20211000
2022-01-17 23:00:00,20220500,20221000,20220100
2022-05-16 23:00:00,20221000,20230100,20220500
2022-10-17 23:00:00,20230100,20230500,20221000
2023-01-16 23:00:00,20230500,20231000,20230100
2023-05-15 23:00:00,20231000,20240100,20230500
2023-10-16 23:00:00,20240100,20240500,20231000
2024-01-15 23:00:00,20240500,20241000,20240100
2024-05-15 23:00:00,20241000,20250100,20240500
2024-10-15 23:00:00,20250100,20250500,20241000
2025-01-15 23:00:00,20250500,20251000,20250100
2025-05-15 23:00:00,20251000,20260100,20250500
2025-10-15 23:00:00,20260100,20260500,20251000
2026-01-15 23:00:00,20260500,20261000,20260100
2026-05-15 23:00:00,20261000,20270100,20260500
